idx,PORO,PERM
330,0.47926875,3.54726
331,0.47205625,2.97704
332,0.48315,2.73993
333,0.48360625,2.65289
334,0.48564375,5.16988
335,0.479175,4.23305
336,0.47586875,2.27683
337,0.477775,3.66314
338,0.4761375,7.41864
339,0.48333125,2.98219
340,0.469525,2.49889
341,0.470775,3.72953
342,0.46104375,3.3249
343,0.4610875,4.77304
344,0.457275,3.35127
345,0.45885625,5.41913
346,0.45934375,5.94024
347,0.47731875,3.20568
348,0.47338125,4.31915
349,0.46245625,3.03935
350,0.45971875,3.72733
351,0.4560375,3.78464
352,0.4516875,5.22594
353,0.459775,1.48253
354,0.4560625,6.95717
355,0.45519375,0.724986
356,0.453425,1.9427
357,0.4513625,6.22604
358,0.45165,2.42895
359,0.41275,4.9545
360,0.45711875,2.78395
361,0.4555625,3.04142
362,0.43988125,2.14978
363,0.44339375,7.71953
364,0.4489,1.31397
365,0.45118125,3.23345
366,0.443775,7.55324
367,0.4403,1.39453
368,0.4474,2.28612
369,0.44774375,5.3506
370,0.44825,2.67665
371,0.43796875,1.44161
372,0.43630625,2.86054
373,0.42951875,4.15956
374,0.44148125,2.02302
375,0.43643125,1.26605
376,0.442275,5.8858
377,0.43973125,2.98847
378,0.43245625,1.60635
379,0.4329875,2.50515
380,0.4363875,1.09361
381,0.4334875,2.37677
382,0.423025,1.41591
383,0.4219,5.47647
384,0.41775625,2.86891
385,0.4330625,0.476489
386,0.4204375,2.83942
387,0.42976875,2.42727
388,0.42681875,5.45326
389,0.419375,2.79005
390,0.42420625,2.32418
391,0.4077875,3.13802
392,0.41845625,2.5116
393,0.4182875,5.55075
394,0.422325,3.60249
395,0.4137125,1.49498
396,0.40864375,4.08397
397,0.4228,1.886
398,0.41289375,5.62353
399,0.40933125,4.35796
400,0.4240125,3.06185
401,0.4101625,5.15954
402,0.403525,3.73523
403,0.41288125,3.56381
404,0.41435,1.39371
405,0.42303125,4.56065
406,0.4116,3.22771
407,0.4093125,2.21651
408,0.403875,1.89465
409,0.4030625,2.10809
410,0.4059125,1.41505
411,0.40318125,2.70853
412,0.4010625,2.17251
413,0.4019125,2.22815
414,0.40703125,3.47859
415,0.3310625,2.61968
416,0.42846875,2.64798
417,0.39766875,1.3849
418,0.39113125,0.592344
419,0.3863625,1.78143
420,0.39763125,1.52919
421,0.38984375,1.5514
422,0.395725,2.97887
423,0.38308125,1.86301
424,0.39546875,1.67742
425,0.3643,4.84999
426,0.3979625,1.73065
427,0.37623125,2.64835
428,0.3894875,1.94942
429,0.3914625,0.685872
430,0.3809625,1.38152
431,0.372175,1.87498
432,0.39025625,1.60754
433,0.38110625,1.23861
434,0.3917125,4.6728
435,0.3805875,1.95712
436,0.37835,0.826848
437,0.37085,1.22201
438,0.39609375,1.32134
439,0.37339375,1.50943
440,0.37710625,2.90029
441,0.3604875,1.18159
442,0.360925,1.26725
443,0.36876875,1.63909
444,0.35985625,1.97955
445,0.37001875,0.786552
446,0.35406875,1.36303
447,0.3593125,1.30997
448,0.36650625,2.50202
449,0.3607125,2.31523
450,0.37068125,1.36624
451,0.34995625,0.641195
